"","LakeID","ATTRIBUTE","WETLAND_TY","1984-06-25","1985-06-28","1985-10-02","1986-07-01","1986-07-17","1986-08-02","1986-08-18","1986-10-05","1987-06-02","1987-07-04","1987-07-20","1987-08-05","1987-08-21","1987-09-06","1987-09-22","1988-06-04","1988-07-22","1988-10-10","1989-06-07","1989-08-26","1989-09-27","1990-06-26","1990-08-13","1990-08-29","1990-09-14","1990-09-30","1991-07-15","1991-07-31","1992-08-02","1992-09-19","1993-06-18","1993-09-22","1994-07-07","1994-08-24","1994-09-09","1994-09-25","1995-06-24","1995-07-26","1995-08-11","1995-08-27","1995-09-12","1995-09-28","1995-10-14","1996-06-10","1996-06-26","1996-07-12","1996-08-29","1996-09-30","1997-06-29","1997-07-15","1997-07-31","1998-05-31","1998-07-02","1998-07-18","1999-07-05","1999-08-22","1999-09-07","1999-09-23","1999-10-09","2000-05-20","2000-06-05","2000-06-21","2000-07-07","2000-08-08","2000-09-09","2000-09-25","2001-05-23","2001-06-24","2001-08-11","2002-07-13","2002-07-29","2002-08-14","2003-05-29","2003-06-30","2003-07-16","2003-08-01","2003-09-02","2003-10-04","2004-08-03","2004-09-04","2004-10-06","2005-06-19","2005-07-05","2005-07-21","2005-08-06","2005-09-07","2006-06-06","2006-06-22","2006-07-08","2006-08-09","2006-09-10","2006-10-12","2007-06-09","2007-06-25","2007-07-11","2007-08-12","2007-08-28","2007-09-13","2008-07-13","2008-07-29","2008-08-30","2008-09-15","2008-10-01","2009-05-29","2009-06-30","2009-07-16","2009-08-17","2009-09-02","2009-09-18","2010-07-19","2010-08-04","2010-08-20","2010-10-07","2011-07-06","2011-08-23","2011-09-08","2011-09-24","2013-05-24","2013-06-09","2013-08-12","2014-06-12","2015-08-02","2015-09-19","2015-10-05","2016-06-01","2016-06-17","2016-07-19","2016-08-04","2016-08-20","2017-06-04","2017-07-06","2017-07-22","2017-08-07","2017-08-23","2017-09-08","2018-06-07","2018-07-09","2018-08-10","2018-09-11"
"1",1,"L1UBH","Lake",NA,69166.9592217267,75459.1945714384,56651.3268866831,77940.3058307959,79042.1573742506,69060.0853898404,73237.5618631868,80848.8637643236,NA,NA,79707.9352564744,78167.9473288422,77974.0564136988,79449.7141020536,69779.5347821304,65395.7331380583,74176.8421094599,80946.8753587134,60959.5473912128,58831.3830784196,79100.2965659532,75307.4990688117,66932.0355483004,80201.1771864782,79602.7024150482,80492.124847523,80307.8803469351,60760.6904879337,66733.7487670937,81619.8277472695,80715.9888965402,57801.4715121965,71106.005184917,69943.1521681651,71607.0241390611,80084.6227035275,NA,73626.5276458923,79042.9557502673,77340.7894567735,66510.291490525,78748.1101115118,NA,79452.9658504912,81800.6615344373,80202.2519847984,82030.4719659333,80018.3881769923,80274.1758751864,79446.3952177784,78526.5795796733,79577.2164390202,76563.2437618377,75412.1714590885,76194.7973353105,76288.2355925485,73760.4551157339,56517.7147605479,68889.7832625921,72806.391519049,75994.545039086,75943.8950061007,43943.5489422237,NA,72440.4693927413,75700.724077593,NA,72024.2514393352,74308.9983657603,75681.3658869041,75848.6062893297,78975.4202254848,74498.9269703539,75654.1005439874,76731.4126179771,76771.7670018424,77047.8890921082,74680.298145124,76742.071978916,79375.8694510276,NA,75803.7934683348,76158.5958671041,75567.0610158452,76842.7597124219,76217.2172326774,76541.9295969169,76339.339367395,74582.361702689,70764.3532058228,77052.6992229153,NA,73514.5441417234,74143.3567073091,74205.1735466849,72970.1443742292,73557.7781890278,75693.0423101024,75940.4149797291,65953.1133930229,73630.6030793862,NA,69703.5385427664,70596.3882726966,74081.1529121825,74653.4327421726,74972.6453454389,75532.6663973286,NA,77396.9379596091,77306.3146218325,NA,78543.33294371,80380.0722714362,78877.5271447192,81963.6985833136,57309.2040148353,80451.5477139199,79907.1284607218,NA,70575.9545170907,77211.9099198067,76415.2311413888,72304.9571011847,78665.497010823,NA,66352.752219256,55202.9021610727,73628.8656586103,75087.8440634736,71697.0802406107,72968.6433719705,64274.7099656699,NA,NA,71459.6653684404,73821.9468782247,65959.8545286272
"2",2,"L1UBHh","Lake",758379.476003179,724149.459522994,767951.95350388,NA,714661.134740854,738297.981545802,743112.95158524,776505.27507954,762877.323780108,745824.726816079,694648.127369459,753655.105004315,745906.285804474,754111.999332816,770241.882012439,760534.542405155,703709.554466402,NA,730488.910727976,743094.364305869,NA,765452.874807754,754904.497346526,594467.673866882,774817.28103732,756664.663707137,765875.172246884,775921.040937924,734931.032053177,727508.461677188,779302.433459811,770428.528673744,767985.990659486,NA,755598.559416998,776451.268305424,782781.545631475,NA,757396.159584454,770976.858131192,750663.123380957,755924.382237608,746289.562359395,785517.549650637,756687.938051065,794331.948718188,758592.032033154,777759.57457273,772483.660301572,786777.604604381,NA,781872.630589413,788741.979232176,775937.933264853,794923.240630025,789083.388211294,785952.500050206,762909.920412403,NA,774062.018273725,780124.8910425,775072.3998547,774468.715718975,500439.028508932,NA,772131.000469513,772273.442757473,646709.511027253,742918.108001536,738595.069988684,772057.84401337,759289.304022402,738845.625288242,737903.977165051,723621.867623526,716003.717797344,713407.282040468,732705.909100512,724729.381605259,749949.578376139,737653.989071594,NA,764591.729584851,771986.21217002,743670.461163133,751580.801806872,763801.941412598,762188.178676431,781987.018339931,719310.556083641,701053.567543387,781289.612750285,715786.380912522,681404.858704228,748565.311475631,716849.87087223,718424.440920842,NA,776783.271905634,746322.730757057,NA,739672.352045994,732630.144338181,753144.694726333,746225.604462871,750122.264401505,761559.97307196,770526.891430529,746016.453524594,766149.145633342,758448.132865422,766016.761221734,761070.431516821,769953.458145301,766851.873735886,NA,769967.365775544,704148.215965667,740010.121458166,754163.997901678,NA,784715.256809527,793058.023710181,NA,604779.2571287,755393.050829735,NA,774464.894894805,714800.08934851,754880.561788406,NA,744309.625682127,782981.97561731,664357.669348243,NA,NA,755410.149294252,754690.965125473,NA
"3",3,"L2ABFh","Lake",3639.98669879798,2762.12138620359,3681.89124354761,NA,2701.28052995116,3230.16077336883,3121.50965833012,3925.92771139519,1980.83742429853,2102.49479826119,2191.82785659566,2302.86782819188,2542.98161868318,2902.9018683247,2927.65707301186,1711.04665931646,1477.56724614915,1394.30743342381,803.652243345201,1642.88354651398,NA,2397.85553721772,2537.17633119607,1802.70650976079,2916.35836461466,3154.6429283601,3212.01209564107,3374.10977960114,3310.8879026294,4198.28421743919,3709.53735952829,4136.19695856413,3546.98502557457,NA,3057.7840771311,3380.3873244985,3307.03786845255,NA,3541.54608882478,3596.37735326151,4029.91926318146,3952.37930593317,3776.4705813824,4265.48037862975,3821.19958388828,4472.29273531421,4159.50904090795,3572.02069838441,3935.18997272649,3402.76375562671,3789.62210630134,3586.72987225144,NA,3796.65502540971,4171.31341254943,4061.84120176232,3888.03293377828,3938.47800351749,NA,3237.18639370186,3771.58316696589,3881.21355980426,3486.84161932686,1907.32268482483,NA,3815.18375915211,2565.26719875981,1747.64205669648,2437.80971612717,2619.33735730421,2870.24478376375,2575.22878310484,1359.05170882616,2027.61245437148,1958.19390550469,1798.20429410233,1863.92070651099,1917.49360003322,1801.70293737099,1853.00051595719,2346.40726988257,NA,2769.57924288644,2749.18879179616,2689.40560965819,2804.90521636137,2023.85574524949,3533.03994671525,3584.82888318199,2564.22169850916,2617.14894490805,3495.72102530907,2138.21678603182,1917.04832836646,2402.73783610323,2033.33525335089,2164.68143724338,NA,2329.19646889968,2627.90105932881,NA,2529.61024576367,2123.01144847714,654.068447488442,1746.46477022849,2729.63837768836,2840.72182567704,2688.80803137512,2711.3308728433,3036.15372332084,2914.06611901101,2492.66546598459,2070.61012295297,3003.95021131888,2618.32540709899,NA,2987.7354637425,1462.77455748928,1697.72519306178,1977.94023293665,NA,2717.68157215776,2770.77478996675,3330.05347079084,1396.11855095387,1979.27129655078,NA,1694.01493423305,1794.65400263092,520.237875785055,718.732184649942,1318.75299664034,1238.13691712702,1396.66137680652,NA,NA,2036.78220703806,2132.44048799955,NA
"4",4,"L2ABFh","Lake",8171.49069963614,6802.43783364859,3900.75134674428,NA,4871.68453333997,5175.36091251639,5261.98298025996,6882.25399454441,5079.87543461752,4849.01742813518,4454.63615803647,4826.64830323963,4370.69808521416,4975.5327274084,5101.19225841154,2605.04475653395,3590.03345280458,1772.59221139429,1269.06533989006,3356.65330032846,NA,3438.93356454456,5289.64229621411,2691.69914020113,4470.7827222946,4621.94568992474,7103.02095944773,6374.0500650454,8414.2964712909,8022.13603608903,8979.05649683449,8637.31729024688,7525.05043793743,NA,5620.25185838241,6162.66513952415,5728.71937973452,NA,6301.89998360217,6601.87961842018,6440.65358832545,6607.30094991795,6130.88664984208,9154.75943533787,9064.45010617752,9471.27281134565,7763.38805054089,6540.06680106081,NA,8921.49401638036,NA,10036.9787430186,9918.20120728435,9581.02087866851,9372.31130627506,8765.42654903893,8943.67658611995,8046.19120996481,NA,7081.69843327663,8414.78935817536,7959.69196851669,7844.03514981659,4217.26369492253,NA,7082.67506817914,5063.00540505666,4017.46901374905,5068.74160700585,3540.03386473491,4799.33700723774,5032.31229352742,3019.54420785949,3457.05715037811,3376.73645360796,4211.57457279218,3394.70441672543,3021.19910002346,2615.64555374882,3361.78350051451,3102.71802206885,NA,4095.65845521931,4620.75044186757,4483.52944285647,4920.86060191404,3197.7825266827,3314.79973163633,6414.29121764841,4859.89767785928,4123.19948535904,5995.0481519202,3578.02306555253,4450.93724290447,3890.19033627337,2971.57865216212,3050.97363692206,NA,5637.44429275188,4863.17644815575,NA,4200.06530876177,3021.88571069052,1784.14945115284,4399.45829008915,5407.58624850887,5931.20550973668,5521.70699884321,5261.23688845872,5810.98003149046,6107.91182431144,5180.08059623568,4148.169489698,6888.19863488137,5692.90288953763,NA,6016.57950683351,2568.61068654674,3061.22933043606,3878.37828071717,NA,4702.22410372143,3917.78939032672,4872.81195644961,1918.46350088033,3113.19508244927,NA,3501.36183572484,4170.98198186929,1237.58484834092,1392.08497850885,2408.98882000658,2488.91840259995,2574.04802895805,NA,NA,3057.95899222605,3430.01334193189,NA
"5",5,"L2ABGh","Lake",NA,90156.3826505112,87646.5671505838,NA,91079.8510727333,98378.6521473395,95005.2531434694,99619.2293222293,NA,88620.1189533038,79799.944145708,92489.2691452305,90500.0879371978,90526.5327834492,92238.1440465385,93650.8553410465,77363.499865348,80797.9128440913,92078.6169889009,93198.1734541124,NA,99067.4797771908,94910.2007849576,75838.5729624973,95980.0938868617,93396.4543355386,96695.7778301176,96382.4399929246,91262.0558073667,89862.2448144435,97354.2692419566,93828.5973000661,93310.7220271109,NA,87402.7704540491,88441.6085323988,98512.5782900133,NA,90504.0316445235,95205.6586038352,94465.2659114866,89657.6398892009,89238.6590500564,98937.0366968807,94365.9037093034,95222.9556688742,92695.8238216217,93621.1603222576,95403.7976562535,95231.1616958488,94866.5593699568,98547.7098865998,98978.181831811,93361.5911714912,100563.794843929,99149.2424531498,99722.7754761362,96280.2813291163,NA,96885.2049635179,94547.002983665,99869.3591392,97369.8379490714,56840.2615449807,96000.723970734,98473.9709565343,95171.8258195336,83799.6845861954,92906.4175103615,93894.6501048818,96135.1424386546,90451.1267289364,96755.4236413895,90982.9886105336,86909.421641854,93232.2046594599,89722.7504558113,92189.485655452,87108.2656154811,89743.34879493,79955.7050475042,NA,90269.6130580165,92064.871756103,76956.2525067983,75289.8458467262,87164.0590225701,NA,88981.6311535753,79608.8146789294,68575.3251604797,82765.6511547741,NA,76720.5217131591,78429.3096160712,71378.0773305643,64130.0609642192,48512.8174778369,98074.718641921,95434.0766510286,NA,94294.2940094451,92763.0597153203,98558.1072680462,93968.4432828257,98066.8371884245,97161.3804906328,94206.768173996,92785.1345443857,96513.6777549406,96068.8059828997,96645.3953362956,88862.5299395334,99417.4083781704,95363.1055662696,91854.9754746239,96316.5171161582,95367.2977579251,97355.1952722563,96496.4904762449,NA,101728.38768933,NA,103119.866148435,84070.1519706397,93173.900630436,NA,100178.661406098,91266.2435102406,101019.47691402,100422.678261017,98072.6982678213,101194.257823252,87487.6020939684,NA,NA,99451.4214297529,97077.5135446983,NA
"6",6,"L2USAh","Lake",695.660862836467,719.259285170826,525.044422427406,NA,572.60226541668,746.778531063553,663.945187560899,774.641630571601,502.883778164213,440.866499181913,405.984836022278,412.715396174388,371.660814322958,408.138500519578,388.657599576498,455.56326621435,175.656752913557,NA,161.96454912754,139.402300413545,NA,610.521184801622,738.677649511044,573.343903510541,667.705173270911,603.730243925217,707.05056033341,712.558989109311,1008.8273078283,867.198377079591,1032.70817955292,857.87439648389,964.038674748808,NA,659.612097603866,567.940855165306,739.912025536024,NA,740.088927201929,923.005199563284,791.186450319847,705.386125860291,682.528555073559,904.566465217414,978.264622683518,893.655574983366,676.339376683834,786.653968852649,877.045825750278,NA,965.723156468084,906.068559240629,1007.44077684389,871.886392751157,943.654714633253,978.670311999052,710.9623919757,862.738107780016,NA,700.048312235663,738.990242906446,734.170865022782,845.363698674,216.80136370327,NA,451.792744016161,429.37726961574,375.061215763035,263.604512247614,192.54786239775,234.751674472071,118.475325940071,62.0353817284407,224.829301392665,27.5681572357346,125.343740426284,11.0864306240263,3.82478431797362,7.16366407306483,11.0437359105639,6.41931782245367,NA,426.956102284791,313.439233301749,171.846377479685,228.535874168639,317.970179566954,403.446906886459,589.874474384636,583.506375847329,375.008614542804,523.819652661831,595.17086048202,443.298443350454,475.454045118958,318.756108596416,293.445417129396,NA,670.688646078795,546.014060904027,NA,495.955775662102,329.827674016974,445.937022488438,608.181773884121,675.80029125718,674.963106435818,643.529476864112,508.12088098008,626.751550346031,763.836104876745,607.086760380643,482.216135270909,657.337959403911,572.746376315911,NA,580.559278045308,657.984678605679,661.764204203624,474.384534137265,NA,723.59506741428,676.988567693781,695.637466349266,717.434250375278,729.159668138238,461.80808780012,538.568771811922,364.296236791727,313.036006509128,NA,371.03423641532,289.661674100912,252.141968340663,NA,NA,549.725024234261,412.339314438225,NA
"7",7,"L1ABH","Lake",2994.08541224801,3638.29907933316,3901.7934524502,3771.94710834511,3972.32425876947,3512.89734327193,3513.33907840963,3931.0937832527,3940.89891665581,NA,NA,3508.84278845312,3346.29386016682,3371.29857579498,3491.42719595451,4087.86773755939,2856.47635674561,3756.02611101524,2406.63425924225,5234.3115755709,3083.61803568057,2692.24527114909,2886.1815771448,NA,3121.28647187872,3117.89363283112,4022.32978792563,3979.06159380418,NA,3645.29290101607,2725.31178420233,3685.05215648982,3634.62168372451,NA,4242.38571828879,3863.03870260739,NA,NA,NA,3795.92705965928,4441.61017695741,3867.32845559345,4483.55845651614,4196.62848403933,4534.52348012609,4377.61826075546,4659.07637147046,NA,4031.12425849836,3923.69150057302,3907.60733919786,4860.41505103248,4105.1278730303,3725.64235781095,3851.68074259285,3699.68462540553,NA,3502.58789877756,NA,NA,3305.4996247602,2707.47094849581,3371.14537960604,2688.04560371208,NA,3821.93029277107,3421.16519894222,2852.59441937593,2842.99128219379,2932.28857022336,3231.2084951706,3036.6422918989,3598.52200732539,2998.72507464544,3064.61931997275,2759.53382992843,3099.13910451228,3488.67927786902,NA,3186.21057121085,3394.04510913755,NA,2642.71639458518,2837.64620271581,2823.62477167818,2872.02314818415,2714.94920662458,NA,2841.90918109268,2391.72900331585,NA,3400.62575996854,2069.99859637171,2568.62255943433,2845.58995216331,2775.2576508758,3133.15194930738,3292.94816326469,2603.30623273097,2625.73287469054,NA,3332.95430224059,3846.23301467022,3704.18287705648,3196.00865189697,2597.06580578014,3017.58308070835,3303.45272743048,3356.22350991928,3630.80509974392,NA,3620.93454600453,3843.41740579465,2996.82224298702,NA,3105.55279029705,3201.0960250344,3206.00544284842,2514.5787229473,2078.72082303104,2317.1098046485,2511.61397521138,3274.12453805762,3261.29527256049,2772.34634637008,3020.85223152526,2537.23355968769,3201.95970644359,3149.01925062214,2946.49999886464,2393.00532961535,2831.8015173409,2958.43190423254,3179.3401936943,NA,NA,2227.30888317681,2470.53655821176,3354.48480193684
"8",8,"L1UBH","Lake",31503.1586680954,32112.4667917452,30346.5285802861,31436.5991379824,32015.1811841983,32279.8267640294,31469.7056718113,31792.1912245311,30157.3880743016,NA,NA,31714.4066743037,31265.5475261869,32032.3370126023,32041.9481614516,31766.1629352598,31243.3648943681,31573.9628812217,NA,NA,30003.9724556074,31982.9453841288,32094.2850971851,NA,32636.6296868489,31996.5742762817,31333.4886793449,32275.5462273678,NA,30937.5162772863,31715.060225104,31623.9104240739,31402.781265021,NA,31331.6651500453,31764.5730402716,27006.209160783,NA,NA,32309.0156171139,32363.7780953483,32136.2127958302,31535.0155736325,31388.6231702744,30104.5345003515,31674.1985205408,31390.6162195333,NA,31172.3856860358,32000.1989488481,31829.9894162759,31596.0764597137,31903.2465642304,31527.9966263395,31827.8818117651,32442.4192244594,NA,31636.3559571008,NA,NA,31853.5223733297,31876.1366902356,31340.0110747862,26156.1522971198,19055.6334764273,32343.3393657312,31702.8310459112,27047.9415837857,31719.1090717587,31752.8399273691,31819.7227742687,31983.4183788436,31143.7951310946,31281.2631909247,31599.9903150148,31381.826029204,31756.1034529695,32149.9535476137,31281.1106517347,32356.0486905064,32176.8641861326,NA,31759.996499297,32120.7672021738,31889.2456697252,31838.3110907947,31425.7781036351,31023.6022242683,31845.5186754928,31200.708814051,NA,32167.635872004,30360.7877967272,29491.297118802,31503.9088401933,31144.7000420795,31279.056268152,31182.0863026993,31686.6090483546,31103.3406720342,NA,31352.6689982445,NA,30647.1582935884,31595.6971015033,31402.7254208603,31576.0253188226,31706.8093956716,31702.9670283669,31422.8504390471,NA,31282.0383178262,31795.077973529,31666.0524790758,NA,31094.213569544,32048.2035121145,30983.9834769538,32004.4045784729,30823.3552476313,32009.9139156011,30561.701232292,33005.9407788752,NA,32122.7168003547,32105.8861008704,31532.4987565105,32638.1516196911,32557.1838609856,32347.9911339656,32251.4325492881,31892.5158498528,32910.2226228388,29988.2324766736,28124.4483164331,NA,32248.2576323677,32618.7552410325,31780.6653501769
"9",9,"L1UBH","Lake",13207.8209846119,13418.0506834552,12944.632089712,13333.0162339716,13565.8403517286,13694.7071407728,13535.9859554375,13124.7787752225,13620.3669944217,NA,3823.43221588341,13116.8221986706,12924.0613529793,13181.6853839233,13086.5542421214,13333.6594965084,12444.8213370789,12951.6457634502,13099.8166638371,NA,11578.4288822546,12991.4885302565,13082.8524527839,NA,13045.4012675326,12325.3238924982,13219.5995195009,12993.5342541101,NA,12793.6977523089,13145.4492121051,12799.1120894211,12935.440743699,NA,13150.3211681662,12576.7022494772,NA,NA,NA,13148.7710791422,13357.223775499,12164.7240621432,13479.7968503837,13207.4347098471,13029.0664436784,12995.0353277414,12709.6376831945,11066.8886066828,7519.20643940011,13202.8015928872,13269.0549554478,13190.265373897,13440.7723354,13373.4575021117,13077.8334308115,13273.3152613273,NA,13567.3352696704,NA,NA,13485.2376137624,13109.9735714263,13098.0990591446,10986.3127838379,NA,13482.0949891388,13432.2733003498,11990.0655726225,13095.0902392388,13148.9671910992,13307.4709170244,13334.9377001336,13164.8404527198,13141.5034239882,13245.3612056556,12980.086655336,13294.2948974352,13038.5206307839,NA,13276.9195836164,13416.8352149668,NA,13144.6230258402,13366.9911003219,13300.0535567586,12945.5227125113,13450.5507568599,NA,13371.2673600979,11678.9902034278,NA,13468.9145343546,12613.9184236597,12604.8611748329,13106.9580175928,13141.4287731948,13216.248161132,13186.5519131774,12751.5290454477,13045.7181834842,NA,12988.6865163297,12982.6954638589,13476.2441327094,13250.056586692,13026.8606670779,12928.7732987532,13210.8358736024,12857.0807127258,12862.2880066814,NA,13051.2974406198,13207.2808829245,13205.1087662214,NA,12703.7772501552,12825.1090813514,13594.9609808973,13054.7743074895,12749.3003525029,12924.5071092905,12491.4388061405,NA,13589.3079780927,13488.211647763,13386.061461526,12950.9248706653,13467.7840467492,13504.244142172,13357.1512134356,12855.5580330547,13059.6519394106,13629.9422988032,12346.4063193628,11751.0979857658,NA,13293.6425283695,13382.2701872009,13088.0566212914
